,Country,rank,sdg1_score,sdg2_score,sdg3_score,sdg4_score,sdg5_score,sdg6_score,sdg7_score,sdg8_score,sdg9_score,sdg10_score,sdg11_score,sdg12_score,sdg13_score,sdg14_score,sdg15_score,sdg16_score,sdg17_score,total_score,economy,region
73,Samoa,74,75.00187658539355,57.44438391635141,70.50305702274169,50.00310915459089,51.0757848740188,57.48263861285818,61.651398418838575,48.63138786044375,22.720849221253047,59.57079931680079,74.98081208776055,69.62770635992653,68.93162606804154,58.378711362401376,58.96342913280456,70.21205459417138,46.513615329223306,58.174442938632325,UMI,lat_cab
74,Paraguay,75,74.8533001429657,68.4993430207319,73.09832655068163,45.68814012036005,46.602377953489075,57.020948728423136,70.35240959807302,51.448513800694215,25.915357896481755,54.71496567071134,77.1608656891664,69.41715154252441,69.25873283799257,51.01618296015461,51.93100492294038,59.50203230791609,44.91136325600089,57.817803419643695,UMI,lat_cab
75,Dominican Republic,76,74.84191441062167,57.86437847616824,67.80465443731524,57.98093919393945,51.32801699282507,59.96692401830444,77.4644960476409,58.31727162328965,28.56706700622804,53.25408816767514,82.05975975979453,71.46179746417408,68.94034409563714,76.66183129227173,83.12268622287255,62.816948122315125,45.91078253619533,61.6598291319292,UMI,lat_cab
76,Tajikistan,77,74.75378545487958,56.459293907340104,69.18695446023892,54.780854526202994,54.33790045705356,53.24839211362143,73.28935643764356,49.05391821501354,22.75858268889578,68.69565937183678,80.76674831122124,75.75172139160374,70.2167171620135,56.65839728948853,70.61347866288216,73.98502934876298,43.38666444910981,60.25184149283518,LMI,cent_as
77,Mongolia,78,74.74181969075634,52.23559093682813,64.87268544756833,59.08096283395321,52.71816069674306,49.37742173243094,58.751534846449616,61.74764423755946,24.812768397537766,68.61959443143955,59.91260874093075,74.16796882454489,62.96887360921707,58.249279949832676,75.22229893049243,70.03544695737759,43.59433521507093,58.53151541583911,LMI,east_as
78,Costa Rica,79,74.73148898499377,54.830696457430456,81.80702051873587,55.776834587233566,51.25051417021717,58.470125207945934,78.77067784819995,55.50908695429664,34.12321874245658,51.03397857690039,84.51807531543817,69.68830712679477,69.2229318358098,69.65831423613608,68.87628079322305,78.19112198595143,52.45046978485384,64.0707296518209,UMI,lat_cab
79,Sri Lanka,80,74.54631051934585,55.77578534943742,76.58418859161327,51.571056119508484,41.64374743336759,54.88683392116133,57.580656096506836,53.92417019989796,26.46515932245246,58.742084772710335,77.46958358061067,62.56995160208061,70.89129005310542,60.055496224700846,70.63386559908447,72.20087528607712,37.00560086094153,58.86972147849677,LMI,south_as
80,Syrian Arab Republic,81,74.49831776202093,49.68632243347311,66.98962033203888,39.42013618007635,39.279947691319705,63.846686343186924,77.36853343543339,39.74243412963707,21.04244339123618,64.63283031143602,52.24371898182578,69.37209887933696,68.45491817106632,40.02981009470659,57.712459561004096,60.69134086295063,41.64975703927621,53.446886464938224,LMI,west_as
82,Panama,83,74.2579810855044,53.97139907996453,76.85978948512825,46.23375591557444,46.56426024327018,55.18185562692749,73.62949164717558,51.70521154327333,28.108818720414554,49.77347394715992,83.99113273442576,68.41432799854489,68.19134421398105,59.4516806388618,68.06553713339659,70.81066860347002,26.085532070269874,58.7337091288323,UMI,lat_cab
83,Cuba,84,73.94362990482229,60.06602898679132,80.80607681040392,59.859124285105864,52.148695682743124,56.788202374230515,73.82759324409895,55.83599000564541,25.61992984817678,56.88916074217489,62.337338200291654,71.77523813587146,68.64038843366063,64.58627576348977,71.48369816594396,67.56702834600638,46.23672111691625,61.81230305271925,UMI,lat_cab
